                                                                                     Links for political articles,                Links to find the articles
https://www.livemint.com/politics/news/bmc-allots-over-rs-500-crore-to-bjp-shinde-coalition-mlas-for-mumbai-development-none-to-opposition-report-11706677226961.html,https://www.livemint.com/politics/news
https://www.livemint.com/politics/news/ed-questions-tejashwi-yadav-for-over-eight-hours-in-land-for-jobs-scam-case-11706629493597.html,
https://www.livemint.com/politics/news/aap-moves-punjab-and-haryana-hc-seeks-fresh-polls-for-chandigarh-mayor-post-11706620665301.html,
https://www.livemint.com/politics/news/aaps-kuldeep-kumar-breaks-down-after-losing-chandigarh-mayors-post-bjp-manoj-sonkar-congress-watch-video-11706618496313.html,
https://www.livemint.com/politics/news/lok-sabha-polls-2024-samajwadi-party-names-16-candidates-akhilesh-yadavs-wife-dimple-yadav-to-fight-from-mainpuri-11706616222311.html,
https://www.livemint.com/politics/news/aapcongress-to-approach-court-after-invalid-votes-help-bjp-win-chandigarh-mayoral-polls-heres-what-happened-11706610553412.html,
https://www.livemint.com/politics/news/hemant-sorens-ed-probe-jharkhand-cm-takes-1-200-km-road-trip-to-ranchi-amid-missing-allegations-10-points-11706612770724.html,
https://www.livemint.com/politics/news/where-was-hemant-soren-jharkhand-cm-on-his-whereabouts-after-returning-home-in-ranchi-11706613458164.html,
https://www.livemint.com/politics/news/chandigarh-mayoral-polls-arvind-kejriwal-calls-it-cheating-in-broad-daylight-says-worried-for-lok-sabha-10-points-11706609384250.html,
https://www.livemint.com/politics/news/india-will-fight-we-dont-need-nitish-kumar-rahul-gandhi-in-bihar-mahagathbandhan-obc-caste-census-11706611534285.html,
https://www.livemint.com/politics/news/congress-india-bloc-aam-aadmi-party-samajwadi-party-tmc-nitish-kumar-mamata-banerjee-rahul-gandhi-general-elections-2024-11706599707251.html,
https://www.livemint.com/politics/news/hemant-soren-ed-probe-jharkhand-cm-arrives-in-ranchi-amid-missing-allegations-from-bjp-11706604164777.html,
https://www.livemint.com/politics/news/land-for-jobs-scam-lalu-prasad-yadav-rabri-devi-misha-bharti-pmla-court-bihar-rjd-jdu-politics-latest-news-11706583889593.html,
https://www.livemint.com/politics/news/lok-sabha-2024-mamata-banerjee-set-deadline-for-congress-to-seal-seat-sharing-but-tmc-abhishek-west-bengal-11706543672192.html,
https://www.livemint.com/politics/news/bjpjds-clash-with-congress-in-karnataka-as-row-over-removal-of-hanuman-flag-intensifies-11706534938656.html,
https://www.livemint.com/politics/news/foreign-secretary-kwatra-visits-bhutan-as-new-government-takes-office-11706536334173.html,
https://www.livemint.com/politics/news/this-is-wrong-delhi-cm-arvind-kejriwal-on-nitish-kumars-says-not-good-for-democracy-nda-bjp-rjd-bihar-cm-11706532663393.html,
https://www.livemint.com/politics/news/bjp-using-cbi-ed-to-threaten-people-to-get-votes-in-lok-sabha-polls-says-mamata-banerjee-11706519671142.html,
https://www.livemint.com/politics/news/uttarakhand-govt-to-get-ucc-committees-report-on-feb-2-assembly-session-on-5-feb-what-to-expect-11706524436475.html,
https://www.livemint.com/politics/news/bihar-politics-prashant-kishore-calls-nitish-kumar-sardar-of-palturams-predicts-jd-u-fate-in-2025-elections-11706437341779.html,
https://www.livemint.com/politics/news/nitish-kumar-may-take-oath-as-bihar-cm-on-sunday-with-bjp-support-report-11706256089148.html,
https://www.livemint.com/politics/news/cong-chief-mallikarjun-kharge-has-spoken-with-mamata-banerjee-today-we-will-find-a-way-forward-jairam-ramesh-11706192542175.html,
https://www.livemint.com/politics/news/lok-sabha-election-2024-bjp-invites-suggestions-public-youth-for-manifesto-indians-demand-gst-on-fuel-jobs-tax-slab-11706182714893.html,
https://www.livemint.com/politics/news/india-ally-nitish-kumar-to-return-to-nda-but-conditions-apply-report-11706177534815.html,
https://www.livemint.com/politics/news/lok-sabha-elections-2024-aam-aadmi-party-aap-congress-chandigarh-bjp-pm-modi-arvind-kejriwal-ashok-tanwar-11705728602300.html,
https://www.livemint.com/politics/news/uddhav-thackeray-faction-moves-sc-against-speakers-order-on-disqualify-plea-eknath-shinde-real-shiv-sena-11705314741776.html,
https://www.livemint.com/politics/news/why-pm-modi-in-a-hurry-to-inaugurate-ram-temple-congress-hits-out-at-bjp-for-not-listening-to-shankaracharyas-11704989145006.html,
https://www.livemint.com/politics/news/karanpur-bypoll-congresss-rupinder-beats-rajasthan-minister-surenderpal-shashi-tharoor-says-voters-don-t-like-11704709119544.html,
https://www.livemint.com/politics/news/aapcongress-seat-sharing-formula-arvind-kejriwal-3-delhi-seats-gujarat-goa-lok-sabha-polls-haryana-rahul-gandhi-11704792227217.html,
https://www.livemint.com/politics/news/ayodhya-ram-mandir-ceremony-i-will-never-allow-says-mamata-banerjee-west-bengal-cm-bjp-11704795301489.html,
https://www.livemint.com/politics/news/ram-mandir-latest-news-ayodhya-ram-mandir-22-january-kalyan-singh-bihar-news-pm-modi-india-lok-sabha-elections-11704703584407.html,
https://www.livemint.com/politics/news/this-is-india-s-moment-pm-modi-talks-about-his-management-style-says-the-final-destination-11704278458869.html,
https://economictimes.indiatimes.com/news/politics-and-nation/under-bjp-rule-30-farmers-forced-to-commit-suicide-every-day-rahul-gandhi/articleshow/107280467.cms,
https://economictimes.indiatimes.com/news/politics-and-nation/pm-modi-vows-to-be-back-in-power-and-deliver-full-budget-after-lok-sabha-elections/articleshow/107279179.cms,
https://economictimes.indiatimes.com/news/politics-and-nation/budget-session-from-today-oppn-mps-suspension-set-to-be-revoked/articleshow/107271584.cms,
https://economictimes.indiatimes.com/news/politics-and-nation/buzz-in-congress-circles-on-sonia-gandhi-taking-rs-route-to-parliament/articleshow/107271345.cms,
https://economictimes.indiatimes.com/news/politics-and-nation/land-for-jobs-case-after-prasad-ed-questions-son-tejashwi-yadav/articleshow/107271227.cms,
https://economictimes.indiatimes.com/news/politics-and-nation/chandigarh-mayor-election-bjp-wins-aap-congress-allege-vote-tampering-heres-all-you-need-to-know/videoshow/107269081.cms,
https://www.livemint.com/politics/news/bharat-nyay-yatra-rahul-gandhi-pm-modi-lok-sabha-elections-2024-mallikarjun-kharge-india-alliance-congress-bjp-11703782034767.html,
https://www.livemint.com/politics/news/rs-40-000-crore-scam-karnataka-bjp-mla-vows-to-expose-covid-corruption-charges-against-bs-yediyurappa-if-11703637411427.html,
https://www.livemint.com/politics/news/ram-mandir-is-bjp-s-show-off-says-kapil-sibal-saffron-party-s-behaviour-nowhere-close-to-rams-11703574444608.html,
https://www.livemint.com/politics/news/maharashtra-deputy-cm-ajit-pawar-no-alternative-to-pm-modi-in-country-lok-sabha-polls-2024-news-latest-11703488687338.html,
https://www.livemint.com/politics/news/no-negative-campaigning-ram-temple-how-bjp-is-strategising-a-stunning-victory-in-2024-ls-polls-10-things-to-know-11703394193915.html,
https://www.livemint.com/politics/news/2024-election-google-to-restrict-queries-from-bard-ai-based-search-11703033406851.html,
https://www.livemint.com/politics/news/madhya-pradesh-row-erupts-after-man-dressed-as-lord-hanuman-welcomes-cm-mohan-yadav-at-ujjain-event-11702897050820.html,
https://www.livemint.com/politics/news/smriti-irani-takes-jibe-at-arvind-kejriwal-says-he-sent-half-of-his-cabinet-to-jail-no-guarantee-on-11702833038078.html,
https://www.livemint.com/politics/news/parliament-security-breach-news-pm-modi-lok-sabha-winter-session-security-issues-concern-india-national-security-11702796504744.html,
https://www.livemint.com/politics/news/union-minister-kiren-rijiju-slams-congress-donate-for-desh-campaign-as-donate-for-dynasty-scheme-11702784054856.html,
https://www.livemint.com/politics/news/odisha-it-raids-prompt-political-slugfest-bjp-stages-protest-against-congress-mp-linked-to-biggest-cash-haul-11702118997864.html,
https://www.livemint.com/politics/news/bjp-receives-rs-719-cr-funding-in-fy-2022-23-donation-to-congress-reduces-to-rs-79-crore-election-commission-of-india-11701751580178.html,
https://www.livemint.com/politics/news/d-arrests-jharkhand-cm-hemant-soren-in-land-scam-case-champai-soren-to-be-next-chief-minister-all-you-need-to-know-11706708368396.html,
https://www.livemint.com/politics/chandigarh-mayor-polls-protest-traffic-hit-as-aap-bjp-supporters-clash-at-delhis-ddu-marg-11706891967819.html,
https://www.livemint.com/politics/news/why-rahul-gandhis-nyay-yatra-wont-help-congress-win-lok-sabha-polls-2024-prashat-kishore-says-worst-time-to-11706879504731.html,
https://www.livemint.com/politics/news/fm-sitharaman-says-modi-govt-will-soon-present-white-paper-on-economic-mismanagement-under-upa-we-lost-10-glorious-11706879850238.html,
https://www.livemint.com/politics/news/we-will-not-tolerate-mallikarjun-kharge-on-congress-mps-separate-country-remark-11706881163815.html,
https://www.livemint.com/politics/i-need-new-haters-mallikarjun-kharges-ab-400-paar-remark-in-rajya-sabha-makes-pm-modi-laugh-video-goes-viral-11706877299985.html,
https://www.livemint.com/politics/news/perfectly-okay-if-leaders-like-himanta-sarna-milind-deora-leave-congress-rahul-gandhi-amid-baba-siddique-exit-report-11706874777583.html,
https://www.livemint.com/politics/news/lok-sabha-election-2024-who-can-steer-bjp-after-pm-modi-prashant-kishor-says-bjp-s-biggest-risk-is-11706870779113.html,
https://www.livemint.com/politics/news/jharkhand-congress-jmm-mlas-move-to-hyderabad-ahead-of-floor-test-11706860471306.html,
https://www.livemint.com/news/india/former-jharkhand-cm-hemant-soren-sent-to-5-day-ed-custody-politics-ed-11706859889118.html,
https://www.livemint.com/politics/a-u-n-agency-is-accused-of-links-to-hamas-the-clues-were-there-all-along-11706854530348.html,
https://www.livemint.com/politics/news/supreme-court-asks-jharkhand-jmm-leader-hemant-soren-to-approach-hc-for-relief-11706851405486.html,
